currency,COP,label.colPesos,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
currency,USD,label.dollar,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
currency,EUR,label.euro,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,3/28/2012,1762.93,0.19,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,3/29/2012,1771.25,0.4697,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,3/30/2012,1784.66,0.7514,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,3/31/2012,1792.07,0.4135,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,4/1/2012,1792.07,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,4/2/2012,1792.07,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,4/3/2012,1779.13,-0.7273,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,4/4/2012,1767.84,-0.6386,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,4/5/2012,1772.58,0.2674,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,4/6/2012,1772.58,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,4/7/2012,1772.58,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,4/8/2012,1772.58,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,4/9/2012,1772.58,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,4/10/2012,1779.53,0.3906,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,4/11/2012,1793.3,0.7679,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,4/12/2012,1787.66,-0.3155,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,4/13/2012,1778.78,-0.4992,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,4/14/2012,1778.78,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,4/15/2012,1777.12,-0.0934,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,4/16/2012,1777.12,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,4/17/2012,1775.67,-0.0817,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,4/18/2012,1769.07,-0.3731,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,4/19/2012,1769.07,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,4/20/2012,1776.06,0.3936,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,4/21/2012,1771.13,-0.2784,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,4/22/2012,1771.13,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,4/23/2012,1771.13,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,4/24/2012,1774.44,0.1865,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,4/25/2012,1767.91,-0.3694,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,4/26/2012,1763.85,-0.2302,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,4/27/2012,1764.63,0.0442,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,4/28/2012,1761.2,-0.1948,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,4/29/2012,1761.2,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,4/30/2012,1761.2,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,5/1/2012,1764,0.1587,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,5/2/2012,1764,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,5/3/2012,1760.12,-0.2204,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,5/4/2012,1754.89,-0.298,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,5/5/2012,1757.24,0.1337,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,5/6/2012,1757.24,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,5/7/2012,1757.24,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,5/8/2012,1759.12,0.1069,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,5/9/2012,1760.6,0.0841,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,5/10/2012,1775.96,0.8649,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,5/11/2012,1765,-0.621,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,5/12/2012,1764.69,-0.0176,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,5/13/2012,1764.69,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,5/14/2012,1764.69,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,5/15/2012,1771.6,0.39,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,5/16/2012,1778.37,0.3807,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,5/17/2012,1793.61,0.8497,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,5/18/2012,1804.92,0.6266,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,5/19/2012,1814.46,0.5258,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,5/20/2012,1814.46,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,5/21/2012,1814.46,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,5/22/2012,1814.46,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,5/23/2012,1824.73,0.5628,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,5/24/2012,1845.17,1.1078,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,5/25/2012,1836.45,-0.4748,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,5/26/2012,1840.69,0.2303,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,5/27/2012,1840.69,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,5/28/2012,1840.69,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,5/29/2012,1840.69,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,5/30/2012,1818.82,-1.2024,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,5/31/2012,1827.83,0.4929,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,6/1/2012,1833.8,0.3256,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,6/2/2012,1834.71,0.0496,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,6/3/2012,1834.71,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,6/4/2012,1834.71,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,6/5/2012,1815.54,-1.0559,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,6/6/2012,1815.54,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,6/7/2012,1782.89,-1.8313,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,6/8/2012,1766.91,-0.9044,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,6/9/2012,1776.26,0.5264,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,6/10/2012,1776.26,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,6/11/2012,1776.26,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,6/12/2012,1776.26,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,6/13/2012,1776.47,0.0118,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,6/14/2012,1783.45,0.3914,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,6/15/2012,1787.63,0.2338,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,6/16/2012,1786.21,-0.0795,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,6/17/2012,1786.21,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,6/18/2012,1786.21,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,6/19/2012,1786.21,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,6/20/2012,1773.18,-0.7348,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,6/21/2012,1770.38,-0.1582,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,6/22/2012,1775.99,0.3159,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,6/23/2012,1787.47,0.6422,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,6/24/2012,1787.47,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,6/25/2012,1787.47,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,6/26/2012,1803.37,0.8817,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,6/27/2012,1805.14,0.0981,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,6/28/2012,1796.18,-0.4988,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,6/29/2012,1805.6,0.5217,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,6/30/2012,1784.6,-1.1767,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,7/1/2012,1784.6,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,7/2/2012,1784.6,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,7/3/2012,1784.6,0,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,7/4/2012,1771.53,-0.7378,TRUE,,,,,,,,,,,,,,,,,,,,,
exchangeRate,COP,USD,7/5/2012,1771.53,0,TRUE,,,,,,,,,,,,,,,,,,,,,
